Country,Name of holiday,Date of holiday,Year of event,Independence from,Event commemorated and notes
Finland,Independence Day,December 6,1917[2],Russian Soviet Federative Socialist Republic,Finnish Declaration of Independence
France,National Day or Bastille Day,July 14,1789,,Storming of the Bastille
Gabon,,August 17,1960,France,Effective date of the agreement with France signed on July 15.[18]
"Gambia, The",,February 18,1965,United Kingdom,Effective date of the Gambia Independence Act 1964
Georgia,Independence Day,May 26,1918,Russian Soviet Federative Socialist Republic,Day of the proclamation of the Democratic Republic of Georgia in 1918.
Germany,None,,,,"German Unity Day celebrates German reunification, but is not an independence day."
Ghana,Independence Day,March 6,1957,United Kingdom,
Greece,,March 25,1821,Ottoman Empire,Declaration of independence 1821. Start of the Greek War of Independence.
Grenada,Independence Day,February 7,1974,United Kingdom,
Guatemala,Independence Day,September 15,1821[2],Spanish Empire,Act of Independence of Central America[citation needed]
Guinea,,October 2,1958,France,
Guinea-Bissau,Independence Day,September 24,1973[2],Portugal,Declaration of independence during the Guinea-Bissau War of Independence[56]
Guyana,,May 26,1966,United Kingdom,
Haiti,Independence Day,January 1,1804[2],France,Haitian Declaration of Independence
Honduras,Independence Day,September 15,1821[2],Spanish Empire,Act of Independence of Central America[citation needed]
Hungary,Day of Hungarian Freedom (A magyar szabadság napja),last Saturday of June,1991,,Restoration of Hungary's sovereignty after the withdrawal of Soviet troops in June 1991.[57][58]
Iceland,Independence Day,June 17,1944[2],Denmark,Effective date of the dissolution of the Danish–Icelandic Act of Union following the 1944 Icelandic constitutional referendum[59]
India,Republic Day,January 26,1950[60],,
Indonesia,Independence Day (Hari Kemerdekaan),August 17,1945[2],Netherlands and Japan,Proclamation of Indonesian Independence
Iran,,April 1,1979,,"After holding a referendum, Iran officially became an Islamic republic in April 1979."
Iraq,,October 3,1932,United Kingdom,
Ireland,,April 24,1916,United Kingdom of Great Britain and Ireland,Proclamation of the Irish Republic commencing the Easter Rising. Usually celebrated on Easter Monday.
Israel,Yom Ha'atzmaut,"Iyar 5  (On or between Apr 15 and May 15, depending on the Hebrew calendar).",1948,United Kingdom and the British Mandate for Palestine,"Israeli Declaration of Independence on May 14, 1948 (5 Iyar 5708 in the Hebrew calendar). Yom Ha'atzmaut is celebrated on the Tuesday, Wednesday or Thursday nearest to 5 Iyar, so it occurs between 3 and 6 Iyar each year; this means that the holiday can fall any time between and including April 15 and May 15, according to the Gregorian calendar."
Italy,None,,,,
Ivory Coast,,August 7,1960,France,Effective date of the agreement with France signed on July 11.[18]
Jamaica,,August 6,1962,United Kingdom,Independence of Jamaica
Japan,None,,,,
Jordan,Independence Day,May 25,1946[2],United Kingdom,Ascension of Abdullah I of Jordan to the throne[59]
Kazakhstan,Independence Day,December 16,1991,Soviet Union,
Kenya,Jamhuri Day,December 12,1963,United Kingdom,
Kiribati,,July 12,1979,United Kingdom,
North Korea,Chogukhaebangŭi nal,August 15,1945,Empire of Japan,Founding of the Democratic People's Republic of Korea in 1948. Korean War 1950–1953.
South Korea,Samiljeol,March 1,1919,Empire of Japan,"Korean Declaration of Independence in 1919. This day is celebrated as Samiljeol, or Independence Proclamation Day."
Kuwait,,February 25,1961,United Kingdom,
Kyrgyzstan,Independence Day,August 31,1991,Soviet Union,
Laos,None,,,,"Laos gained autonomy from France on 19 July 1949 and full independence on 22 October 1953,[61] but those days are not celebrated as public holidays in Laos.[62] The National Day on December 2 commemorates the establishment of the Lao People's Democratic Republic in 1975.[63]"
Latvia,Proclamation Day of the Republic of Latvia,November 18,1918,Russian Soviet Federative Socialist Republic and German Empire,"Proclamation of independence on November 18, 1918. Latvia was part of Russian Empire prior to World War I, but its territory had been ceded to German Empire in March 1918"
Lebanon,Independence Day,November 22,1943,France,
Lesotho,,October 4,1966,United Kingdom,
Liberia,Independence Day,July 26,1847[2],American Colonization Society,Liberian Declaration of Independence
Libya,,December 24,1951,Italy,"Independence from Italy on February 10, 1947, released from British and French on December 24, 1951."
Liechtenstein,None,,,,
Lithuania,Statehood Restoration Day,February 16,1918[2],Russian Soviet Federative Socialist Republic and German Empire,Act of Independence of Lithuania[2]
Luxembourg,None,,,,
Madagascar,,June 26,1960,France,
Malawi,,July 6,1964,United Kingdom,
Malaysia,Hari Merdeka,August 31,1957[2],United Kingdom,Malayan Declaration of Independence
Maldives,,July 26,1965,United Kingdom,
Mali,,September 22,1960,France,
Malta,Independence Day,September 21,1964,United Kingdom,
Marshall Islands,None,,,,
Mauritania,,November 28,1960,France,Effective date of the agreement with France signed on October 19.[18]
Mauritius,,March 12,1968,United Kingdom,
Mexico,Grito de DoloresDía de la Independéncia,September 15September 16,1810[2],Spanish Empire,Start of the Mexican War of Independence
Micronesia,Independence Day,November 3,1986,United States,Effective date of the Compact of Free Association
Moldova,Independence Day,August 27,1991[2],Soviet Union,Moldovan Declaration of Independence
Monaco,None,,,,
Mongolia,Independence Day,December 29[64],1911,Qing China[65][66],"Independence declared in 1911 during the Xinhai Revolution. However, Mongolian independence was neither recognized by Qing China nor its successor state, the Republic of China. The Imperial Edict of the Abdication of the Qing Emperor issued in 1912 provided the legal basis for the Republic of China to inherit all Qing territories, including Mongolia.[67][68][69] The Republic of China later established de facto control over Mongolia in 1919. Mongolia subsequently re-asserted its independence in 1921."
Montenegro,,May 21,2006,Serbia and Montenegro,2006 Montenegrin independence referendum
Morocco,Proclamation of Independence Day,January 11,1944,France and Spain,
Mozambique,Independence DayDia da Independência Nacional,June 25,1975,Portugal,"In September 1964 the Mozambique Liberation Front (FRELIMO) began an armed guerilla campaign against the Portuguese. FRELIMO took control of Maputo in April 1974 in a coup. Independence for Mozambique was officially declared a year later on June 25, 1975.[70]"
Myanmar,Independence Day,January 4,1948[2],United Kingdom,Burmese Declaration of Independence
Namibia,,March 21,1990,South Africa,
Nauru,,January 31,1968,"Australia, New Zealand and the United Kingdom",
Nepal,None,,,,
"Netherlands, The",,July 26,1581,Spanish Empire,Declaration of Independence in 1581 as the Dutch Republic
New Zealand,None,,,,
Nicaragua,Independence Day,September 15,1821[2],Spanish Empire,Act of Independence of Central America[citation needed]
Niger,Independence Day,August 3,1960,France,Effective date of the agreement with France signed on July 11.[18]
Nigeria,Independence Day,October 1,1960,United Kingdom,
North Macedonia,Independence Day (Den na nezavisnosta),September 8,1991,SFR Yugoslavia,
Norway,Constitution Day,May 17,1814[2],Denmark,"National Day: Independence and the Constitution of Norway (May 17, 1814)"
Oman,National Day,November 18,1650,Portugal,
Pakistan,Independence Day (Youm-e-Azadi),August 14,1947,United Kingdom,Effective date of the Indian Independence Act 1947;[71] see also: Pakistan Day (March 23)
Palau,None,,,,"1 October 1994 is a Founding date of Palau, but Palau does not Celebrate this Date."
Palestine,National Day,November 15,1988,Israel,Palestinian Declaration of Independence
Panama,,November 28,1821,Spain,Independence Act of Panama
Papua New Guinea,,September 16,1975[2],Australia of the former Territory of Papua and New Guinea,
Paraguay,Independence Day,May 14 and May 15,1811,Spanish Empire[72],
Peru,Fiestas Patrias,July 28,1821,Spanish Empire,
Philippines,Independence Day (Araw ng Kalayaan or Araw ng Kasarinlan),June 12,1898[2],Spanish Empire,"Philippine Declaration of Independence by Emilio Aguinaldo during the Philippine Revolution against Spain. The Philippines achieved self-rule from the United States on July 4, 1946, and celebrated July 4 as Independence Day until 1964.[75]"
Poland,Independence Day (Święto Niepodległości),November 11,1918,Russian Soviet Federative Socialist Republic and German Empire,"Restoration of Poland's independence in 1918 after 123 years of partitions by Russia, Prussia, and Austria."
Portugal,Restoration of Independence Day,December 1,1640,Spanish Empire,"Portugal was officially an autonomous state, but the country was in a personal union with the Spanish crown from 1580 to 1640 – date of the restoration of full Portuguese autonomy from Iberian Union with Spain.[76]"
Romania,State Independence Day of Romania(Ziua Independenței de Stat a României),May 9,1877,Ottoman Empire,"Romania's declaration of its independence and subsequent victory in the Romanian War of Independence, part of the Russo-Turkish War of 1877–1878, against the Ottoman Empire.[77]"
Russia,None,,,,"Dissolution of Soviet Union celebrate the founding of the Russian Federation, but are not independence days."
Rwanda,Independence Day,July 1,1962[2],Belgium,Effective date of the United Nations General Assembly Resolution 1746 terminating the Ruanda-Urundi Trusteeship[26][27]
Saint Kitts and Nevis,Independence Day,September 19,1983[2],United Kingdom,
Saint Lucia,Independence Day,February 22,1979[2],United Kingdom,
Saint Vincent and the Grenadines,Independence Day,October 27,1979[2],United Kingdom,
Samoa,,June 1,1962[2],New Zealand,
San Marino,None,,,,
São Tomé and Príncipe,Independence Day,July 12,1975[2],Portugal,"Effective date of the agreement with Portugal reached on November 26, 1974[78][79]"
Saudi Arabia,National Day,September 23,1932,,"King Abdulaziz renames the Arabian Peninsula after himself ""House of Saud"" or ""Saud's Arabia"". King Abdullah officially recognized it in 2005 by royal decree."
Senegal,Independence Day,April 4,1960[2],France,
Serbia,Statehood Day,February 15,1804 and 1835,Ottoman Empire,"The beginning of First Serbian Uprising in 1804, it evolved into a Serbian Revolution, war for independence from Ottoman Empire; and the adoption of the first Constitution in 1835."
Seychelles,,June 29,1976[2],United Kingdom,
Sierra Leone,Independence Day,April 27,1961[2],United Kingdom,
Singapore,National Day,August 9,1965,Malaysia,Proclamation of Singapore
Slovakia,,July 17,1992,,"Declaration of Independence in 1992 (only a remembrance day), de jure independence came on January 1, 1993 after the division of Czechoslovakia (public holiday)."
Slovenia,Independence and Unity Day,December 26 and June 25,1991,SFR Yugoslavia,"Date of the release of the official results of the independence plebiscite in 1990, confirming secession from Yugoslavia. (Statehood Day) Declared independence from Yugoslavia in 1991."
Solomon Islands,Independence Day,July 7,1978[2],United Kingdom,
Somalia,Independence Day,July 1,1960[2],Italy and United Kingdom,Union of the Trust Territory of Somalia (former Italian Somaliland) and British Somaliland to form the Somali Republic. Event commemorated annually.
South Africa,Not a holiday,December 11,1931,United Kingdom,"Independence in 1931 in terms of the Balfour Declaration of 1926 which is not a public holiday. The Union of South Africa formed on May 31, 1910 and the Republic of South Africa declared on May 31, 1961 under minority rule during Apartheid.  Majority rule achieved on April 27, 1994, which is celebrated annually as the Freedom Day."
South Sudan,Independence Day,July 9,2011[2],Sudan,
Spain,None,,,,
Sri Lanka,Independence Day,February 4,1948[2],United Kingdom,
Sudan,Independence Day,January 1,1956[2],Egypt and the United Kingdom,
Suriname,Independence Day,November 25,1975[2],Netherlands,
Sweden,National Day,June 6,1523,,Celebrates the election of King Gustav Vasa in 1523 and the new constitutions in 1809 and 1974. The election of King Gustav Vasa was the de facto end of the Kalmar Union and has been seen as a formal declaration of independence.
Switzerland,Swiss National Day,August 1,1291,,Alliance against the Holy Roman Empire in 1291.
Syria,Evacuation Day,April 17,1946[2],France,End of the French Mandate of Syria in 1946.
Tajikistan,Independence Day,September 9,1991[2],Soviet Union,
Tanzania,,December 9,1961,United Kingdom,Independence as Tanganyika
Thailand,None,,,,
Togo,,April 27,1960[2],France,
Tonga,,June 4,1970,United Kingdom,Termination of protectorate status in 1970
Trinidad and Tobago,Independence Day,August 31,1962[2],United Kingdom,Effective date of the Trinidad and Tobago Independence Act 1962
Tunisia,Independence Day,March 20,1956[2],France,
Turkey,None,,,,"Republic Day (October 29) and National Sovereignty and Children's Day (April 23) celebrate the founding of the Republic of Turkey, but are not independence days."
Turkmenistan,Independence Day,September 27,1991,Soviet Union[80],
Tuvalu,Independence Day,October 1,1978[2],United Kingdom,
Uganda,Independence Day,October 9,1962[2],United Kingdom,
Ukraine,Independence Day,August 24,1991,Soviet Union,Declaration of Independence of Ukraine
United Arab Emirates,National Day,December 2,1971,United Kingdom,
United States,Independence Day or Fourth of July,July 4,1776[2],Kingdom of Great Britain,United States Declaration of Independence
Uruguay,Independence Day,August 25,1825[2],United Provinces of the Rio de la Plata,Declaration of independence and union with the United Provinces of the Rio de la Plata.
Uzbekistan,Independence Day,September 1,1991[2],Soviet Union,
Vanuatu,Independence Day,July 30,1980[2],United Kingdom and France,
Vatican City,None,,,,
Venezuela,Independence Day,July 5,1811[2],Spanish Empire,Venezuelan Declaration of Independence
Vietnam,Independence Day,September 2,1945[2],Empire of Japan and France,Proclamation of Independence of the Democratic Republic of Vietnam
Yemen,,November 30,1967,United Kingdom,Declaration of independence as South Yemen
Zambia,Independence Day,October 24,1964[2],United Kingdom,Effective date of the Zambia Independence Act 1964
Zimbabwe,Independence Day,April 18,1980[2],United Kingdom,Effective date of the Lancaster House Agreement
